"year","zone","type","ratio"
"2004","S01001790","Pre 1991",0
"2005","S01001790","Pre 1991",0
"2006","S01001790","Pre 1991",0
"2007","S01001790","Pre 1991",0
"2008","S01001790","Pre 1991",0
"2009","S01001790","Pre 1991",0
"2010","S01001790","Pre 1991",0
"2011","S01001790","Pre 1991",0
"2012","S01001790","Pre 1991","0.7"
"2013","S01001790","Pre 1991",0
"2013","S01001790","All",0
"2009","S01001790","All",0
"2004","S01001790","All",0
"2012","S01001790","All","0.7"
"2005","S01001790","All",0
"2010","S01001790","All",0
"2006","S01001790","All",0
"2014","S01001790","All",0
"2007","S01001790","All",0
"2011","S01001790","All",0
"2008","S01001790","All",0
"2004","S01001791","Pre 1991",0
"2005","S01001791","Pre 1991",0
"2006","S01001791","Pre 1991",0
"2007","S01001791","Pre 1991",0
"2008","S01001791","Pre 1991",0
"2009","S01001791","Pre 1991",0
"2010","S01001791","Pre 1991",0
"2011","S01001791","Pre 1991",0
"2012","S01001791","Pre 1991",0
"2013","S01001791","Pre 1991",0
"2013","S01001791","All",0
"2009","S01001791","All",0
"2004","S01001791","All",0
"2012","S01001791","All",0
"2005","S01001791","All",0
"2010","S01001791","All",0
"2006","S01001791","All",0
"2014","S01001791","All",0
"2007","S01001791","All",0
"2011","S01001791","All",0
"2008","S01001791","All",0
"2004","S01001792","Pre 1991",0
"2005","S01001792","Pre 1991",0
"2006","S01001792","Pre 1991",0
"2007","S01001792","Pre 1991",0
"2008","S01001792","Pre 1991",0
"2009","S01001792","Pre 1991",0
"2010","S01001792","Pre 1991",0
"2011","S01001792","Pre 1991",0
"2012","S01001792","Pre 1991",0
"2013","S01001792","Pre 1991",0
"2013","S01001792","All",0
"2009","S01001792","All",0
"2004","S01001792","All",0
"2012","S01001792","All",0
"2005","S01001792","All",0
"2010","S01001792","All",0
"2006","S01001792","All",0
"2014","S01001792","All",0
"2007","S01001792","All",0
"2011","S01001792","All",0
"2008","S01001792","All",0
"2004","S01001793","Pre 1991",0
"2005","S01001793","Pre 1991",0
"2006","S01001793","Pre 1991",0
"2007","S01001793","Pre 1991",0
"2008","S01001793","Pre 1991",0
"2009","S01001793","Pre 1991",0
"2010","S01001793","Pre 1991",0
"2011","S01001793","Pre 1991",0
"2012","S01001793","Pre 1991","0.9"
"2013","S01001793","Pre 1991",0
"2013","S01001793","All",0
"2009","S01001793","All",0
"2004","S01001793","All",0
"2012","S01001793","All","0.9"
"2005","S01001793","All",0
"2010","S01001793","All",0
"2006","S01001793","All",0
"2014","S01001793","All",0
"2007","S01001793","All",0
"2011","S01001793","All",0
"2008","S01001793","All",0
"2004","S01001794","Pre 1991",0
"2005","S01001794","Pre 1991",0
"2006","S01001794","Pre 1991",0
"2007","S01001794","Pre 1991",0
"2008","S01001794","Pre 1991",0
"2009","S01001794","Pre 1991",0
"2010","S01001794","Pre 1991",0
"2011","S01001794","Pre 1991",0
"2012","S01001794","Pre 1991",0
"2013","S01001794","Pre 1991",0
"2013","S01001794","All",0
"2009","S01001794","All",0
"2004","S01001794","All",0
"2012","S01001794","All",0
"2005","S01001794","All",0
"2010","S01001794","All",0
"2006","S01001794","All",0
"2014","S01001794","All",0
"2007","S01001794","All",0
"2011","S01001794","All",0
"2008","S01001794","All",0
"2004","S01001795","Pre 1991","1.2"
"2005","S01001795","Pre 1991","1.2"
"2006","S01001795","Pre 1991","1.2"
"2007","S01001795","Pre 1991",0
"2008","S01001795","Pre 1991",0
"2009","S01001795","Pre 1991",0
"2010","S01001795","Pre 1991",0
"2011","S01001795","Pre 1991",0
"2012","S01001795","Pre 1991","38.1"
"2013","S01001795","Pre 1991",0
"2013","S01001795","All","7.7"
"2009","S01001795","All","21.6"
"2004","S01001795","All","7.8"
"2012","S01001795","All","41.9"
"2005","S01001795","All","7.8"
"2010","S01001795","All","22.2"
"2006","S01001795","All","7.8"
"2014","S01001795","All","6.4"
"2007","S01001795","All","6.6"
"2011","S01001795","All","22.2"
"2008","S01001795","All","14.4"
"2004","S01001796","Pre 1991",0
"2005","S01001796","Pre 1991",0
"2006","S01001796","Pre 1991",0
"2007","S01001796","Pre 1991",0
"2008","S01001796","Pre 1991",0
"2009","S01001796","Pre 1991",0
"2010","S01001796","Pre 1991",0
"2011","S01001796","Pre 1991",0
"2012","S01001796","Pre 1991",0
"2013","S01001796","Pre 1991",0
"2013","S01001796","All","40.5"
"2009","S01001796","All",0
"2004","S01001796","All",0
"2012","S01001796","All","39.9"
"2005","S01001796","All",0
"2010","S01001796","All",0
"2006","S01001796","All",0
"2014","S01001796","All",0
"2007","S01001796","All",0
"2011","S01001796","All",0
"2008","S01001796","All",0
"2004","S01001797","Pre 1991",0
"2005","S01001797","Pre 1991",0
"2006","S01001797","Pre 1991",0
"2007","S01001797","Pre 1991",0
"2008","S01001797","Pre 1991",0
"2009","S01001797","Pre 1991",0
"2010","S01001797","Pre 1991",0
"2011","S01001797","Pre 1991",0
"2012","S01001797","Pre 1991",0
"2013","S01001797","Pre 1991",0
"2013","S01001797","All",100
"2009","S01001797","All",0
"2004","S01001797","All",0
"2012","S01001797","All",100
"2005","S01001797","All",0
"2010","S01001797","All",0
"2006","S01001797","All",0
"2014","S01001797","All",0
"2007","S01001797","All",0
"2011","S01001797","All",0
"2008","S01001797","All",0
"2004","S01001798","Pre 1991",0
"2005","S01001798","Pre 1991",0
"2006","S01001798","Pre 1991",0
"2007","S01001798","Pre 1991",0
"2008","S01001798","Pre 1991",0
"2009","S01001798","Pre 1991",0
"2010","S01001798","Pre 1991",0
"2011","S01001798","Pre 1991",0
"2012","S01001798","Pre 1991",0
"2013","S01001798","Pre 1991",0
"2013","S01001798","All",0
"2009","S01001798","All",0
"2004","S01001798","All",0
"2012","S01001798","All",0
"2005","S01001798","All",0
"2010","S01001798","All",0
"2006","S01001798","All",0
"2014","S01001798","All",0
"2007","S01001798","All",0
"2011","S01001798","All",0
"2008","S01001798","All",0
"2004","S01001799","Pre 1991",0
"2005","S01001799","Pre 1991",0
"2006","S01001799","Pre 1991",0
"2007","S01001799","Pre 1991",0
"2008","S01001799","Pre 1991","35.1"
"2009","S01001799","Pre 1991","35.1"
"2010","S01001799","Pre 1991",0
"2011","S01001799","Pre 1991",0
"2012","S01001799","Pre 1991","5.9"
"2013","S01001799","Pre 1991",0
"2013","S01001799","All","92.1"
"2009","S01001799","All","35.1"
"2004","S01001799","All",0
"2012","S01001799","All","5.9"
"2005","S01001799","All",0
"2010","S01001799","All",0
"2006","S01001799","All",0
"2014","S01001799","All",0
"2007","S01001799","All",0
"2011","S01001799","All",0
"2008","S01001799","All","35.1"
"2004","S01001800","Pre 1991",0
"2005","S01001800","Pre 1991",0
"2006","S01001800","Pre 1991",0
"2007","S01001800","Pre 1991",0
"2008","S01001800","Pre 1991",0
"2009","S01001800","Pre 1991",0
"2010","S01001800","Pre 1991",0
"2011","S01001800","Pre 1991",0
"2012","S01001800","Pre 1991",0
"2013","S01001800","Pre 1991",0
"2013","S01001800","All","47.9"
"2009","S01001800","All",0
"2004","S01001800","All",0
"2012","S01001800","All","48.4"
"2005","S01001800","All",0
"2010","S01001800","All",0
"2006","S01001800","All",0
"2014","S01001800","All",0
"2007","S01001800","All",0
"2011","S01001800","All",0
"2008","S01001800","All",0
"2004","S01001801","Pre 1991",0
"2005","S01001801","Pre 1991",0
"2006","S01001801","Pre 1991",0
"2007","S01001801","Pre 1991",0
"2008","S01001801","Pre 1991",0
"2009","S01001801","Pre 1991",0
"2010","S01001801","Pre 1991",0
"2011","S01001801","Pre 1991",0
"2012","S01001801","Pre 1991",4
"2013","S01001801","Pre 1991",0
"2013","S01001801","All",0
"2009","S01001801","All",0
"2004","S01001801","All",0
"2012","S01001801","All",4
"2005","S01001801","All",0
"2010","S01001801","All",0
"2006","S01001801","All",0
"2014","S01001801","All",0
"2007","S01001801","All",0
"2011","S01001801","All",0
"2008","S01001801","All",0
"2004","S01001802","Pre 1991","79.7"
"2005","S01001802","Pre 1991",0
"2006","S01001802","Pre 1991",0
"2007","S01001802","Pre 1991",0
"2008","S01001802","Pre 1991",0
"2009","S01001802","Pre 1991",0
"2010","S01001802","Pre 1991",0
"2011","S01001802","Pre 1991",0
"2012","S01001802","Pre 1991",0
"2013","S01001802","Pre 1991",0
"2013","S01001802","All",0
"2009","S01001802","All",0
"2004","S01001802","All","79.7"
"2012","S01001802","All",0
"2005","S01001802","All",0
"2010","S01001802","All",0
"2006","S01001802","All",0
"2014","S01001802","All",0
"2007","S01001802","All",0
"2011","S01001802","All",0
"2008","S01001802","All",0
"2004","S01001803","Pre 1991","30.4"
"2005","S01001803","Pre 1991",0
"2006","S01001803","Pre 1991",0
"2007","S01001803","Pre 1991",0
"2008","S01001803","Pre 1991",0
"2009","S01001803","Pre 1991",0
"2010","S01001803","Pre 1991",0
"2011","S01001803","Pre 1991",0
"2012","S01001803","Pre 1991",0
"2013","S01001803","Pre 1991",0
"2013","S01001803","All",0
"2009","S01001803","All",0
"2004","S01001803","All","30.4"
"2012","S01001803","All",0
"2005","S01001803","All",0
"2010","S01001803","All",0
"2006","S01001803","All",0
"2014","S01001803","All",0
"2007","S01001803","All",0
"2011","S01001803","All",0
"2008","S01001803","All",0
"2004","S01001804","Pre 1991","25.1"
"2005","S01001804","Pre 1991",0
"2006","S01001804","Pre 1991",0
"2007","S01001804","Pre 1991",0
"2008","S01001804","Pre 1991",0
"2009","S01001804","Pre 1991",0
"2010","S01001804","Pre 1991",0
"2011","S01001804","Pre 1991",0
"2012","S01001804","Pre 1991",0
"2013","S01001804","Pre 1991",0
"2013","S01001804","All",11
"2009","S01001804","All",0
"2004","S01001804","All","25.1"
"2012","S01001804","All",0
"2005","S01001804","All",0
"2010","S01001804","All",0
"2006","S01001804","All",0
"2014","S01001804","All",0
"2007","S01001804","All",0
"2011","S01001804","All",0
"2008","S01001804","All",0
"2004","S01001805","Pre 1991",0
"2005","S01001805","Pre 1991",0
"2006","S01001805","Pre 1991",0
"2007","S01001805","Pre 1991",0
"2008","S01001805","Pre 1991",0
"2009","S01001805","Pre 1991",0
"2010","S01001805","Pre 1991",0
"2011","S01001805","Pre 1991",0
"2012","S01001805","Pre 1991",0
"2013","S01001805","Pre 1991",0
"2013","S01001805","All","36.9"
"2009","S01001805","All",0
"2004","S01001805","All",0
"2012","S01001805","All",38
"2005","S01001805","All",0
"2010","S01001805","All",0
"2006","S01001805","All",0
"2014","S01001805","All",0
"2007","S01001805","All",0
"2011","S01001805","All",0
"2008","S01001805","All",0
"2004","S01001806","Pre 1991",0
"2005","S01001806","Pre 1991",0
"2006","S01001806","Pre 1991",0
"2007","S01001806","Pre 1991",0
"2008","S01001806","Pre 1991",0
"2009","S01001806","Pre 1991",0
"2010","S01001806","Pre 1991",0
"2011","S01001806","Pre 1991",0
"2012","S01001806","Pre 1991","0.7"
"2013","S01001806","Pre 1991",0
"2013","S01001806","All",19
"2009","S01001806","All","63.9"
"2004","S01001806","All","78.3"
"2012","S01001806","All","20.5"
"2005","S01001806","All","78.3"
"2010","S01001806","All","63.3"
"2006","S01001806","All","78.3"
"2014","S01001806","All",0
"2007","S01001806","All","78.8"
"2011","S01001806","All","63.3"
"2008","S01001806","All","59.5"
"2004","S01001807","Pre 1991",0
"2005","S01001807","Pre 1991",0
"2006","S01001807","Pre 1991",0
"2007","S01001807","Pre 1991",0
"2008","S01001807","Pre 1991",0
"2009","S01001807","Pre 1991",0
"2010","S01001807","Pre 1991",0
"2011","S01001807","Pre 1991",0
"2012","S01001807","Pre 1991",0
"2013","S01001807","Pre 1991",0
"2013","S01001807","All",0
"2009","S01001807","All","7.3"
"2004","S01001807","All","35.9"
"2012","S01001807","All",0
"2005","S01001807","All","35.9"
"2010","S01001807","All","7.3"
"2006","S01001807","All","32.5"
"2014","S01001807","All",0
"2007","S01001807","All","32.8"
"2011","S01001807","All","7.3"
"2008","S01001807","All","7.3"
"2004","S01001808","Pre 1991",0
"2005","S01001808","Pre 1991",0
"2006","S01001808","Pre 1991",0
"2007","S01001808","Pre 1991",0
"2008","S01001808","Pre 1991",0
"2009","S01001808","Pre 1991",0
"2010","S01001808","Pre 1991",0
"2011","S01001808","Pre 1991",0
"2012","S01001808","Pre 1991","3.6"
"2013","S01001808","Pre 1991",0
"2013","S01001808","All",100
"2009","S01001808","All",0
"2004","S01001808","All",0
"2012","S01001808","All","3.6"
"2005","S01001808","All",0
"2010","S01001808","All",0
"2006","S01001808","All",0
"2014","S01001808","All",0
"2007","S01001808","All",0
"2011","S01001808","All",0
"2008","S01001808","All",0
"2004","S01001809","Pre 1991",0
"2005","S01001809","Pre 1991",0
"2006","S01001809","Pre 1991",0
"2007","S01001809","Pre 1991",0
"2008","S01001809","Pre 1991",0
"2009","S01001809","Pre 1991",0
"2010","S01001809","Pre 1991",0
"2011","S01001809","Pre 1991",0
"2012","S01001809","Pre 1991",0
"2013","S01001809","Pre 1991",0
"2013","S01001809","All","66.1"
"2009","S01001809","All",0
"2004","S01001809","All",0
"2012","S01001809","All",0
"2005","S01001809","All",0
"2010","S01001809","All",0
"2006","S01001809","All",0
"2014","S01001809","All",0
"2007","S01001809","All",0
"2011","S01001809","All",0
"2008","S01001809","All",0
"2004","S01001810","Pre 1991",0
"2005","S01001810","Pre 1991",0
"2006","S01001810","Pre 1991",0
"2007","S01001810","Pre 1991",0
"2008","S01001810","Pre 1991",0
"2009","S01001810","Pre 1991",0
"2010","S01001810","Pre 1991",0
"2011","S01001810","Pre 1991",0
"2012","S01001810","Pre 1991",0
"2013","S01001810","Pre 1991",0
"2013","S01001810","All","47.3"
"2009","S01001810","All",0
"2004","S01001810","All",0
"2012","S01001810","All",0
"2005","S01001810","All",0
"2010","S01001810","All",0
"2006","S01001810","All",0
"2014","S01001810","All",0
"2007","S01001810","All",0
"2011","S01001810","All",0
"2008","S01001810","All",0
"2004","S01001811","Pre 1991",0
"2005","S01001811","Pre 1991",0
"2006","S01001811","Pre 1991",0
"2007","S01001811","Pre 1991",0
"2008","S01001811","Pre 1991",0
"2009","S01001811","Pre 1991",0
"2010","S01001811","Pre 1991",0
"2011","S01001811","Pre 1991",0
"2012","S01001811","Pre 1991",0
"2013","S01001811","Pre 1991",0
"2013","S01001811","All",0
"2009","S01001811","All",0
"2004","S01001811","All",0
"2012","S01001811","All",0
"2005","S01001811","All",0
"2010","S01001811","All",0
"2006","S01001811","All",0
"2014","S01001811","All",0
"2007","S01001811","All",0
"2011","S01001811","All",0
"2008","S01001811","All",0
"2004","S01001812","Pre 1991",0
"2005","S01001812","Pre 1991",0
"2006","S01001812","Pre 1991",0
"2007","S01001812","Pre 1991",0
"2008","S01001812","Pre 1991",0
"2009","S01001812","Pre 1991",0
"2010","S01001812","Pre 1991",0
"2011","S01001812","Pre 1991",0
"2012","S01001812","Pre 1991",0
"2013","S01001812","Pre 1991",0
"2013","S01001812","All",0
"2009","S01001812","All",0
"2004","S01001812","All",0
"2012","S01001812","All",0
"2005","S01001812","All",0
"2010","S01001812","All",0
"2006","S01001812","All",0
"2014","S01001812","All",0
"2007","S01001812","All",0
"2011","S01001812","All",0
"2008","S01001812","All",0
"2004","S01001813","Pre 1991",0
"2005","S01001813","Pre 1991",0
"2006","S01001813","Pre 1991",0
"2007","S01001813","Pre 1991",0
"2008","S01001813","Pre 1991",0
"2009","S01001813","Pre 1991",0
"2010","S01001813","Pre 1991",0
"2011","S01001813","Pre 1991",0
"2012","S01001813","Pre 1991",0
"2013","S01001813","Pre 1991",0
"2013","S01001813","All",0
"2009","S01001813","All",0
"2004","S01001813","All",0
"2012","S01001813","All",0
"2005","S01001813","All",0
"2010","S01001813","All",0
"2006","S01001813","All",0
"2014","S01001813","All",0
"2007","S01001813","All",0
"2011","S01001813","All",0
"2008","S01001813","All",0
"2004","S01001814","Pre 1991",0
"2005","S01001814","Pre 1991",0
"2006","S01001814","Pre 1991",0
"2007","S01001814","Pre 1991",0
"2008","S01001814","Pre 1991",0
"2009","S01001814","Pre 1991",0
"2010","S01001814","Pre 1991",0
"2011","S01001814","Pre 1991",0
"2012","S01001814","Pre 1991",0
"2013","S01001814","Pre 1991",0
"2013","S01001814","All",0
"2009","S01001814","All",0
"2004","S01001814","All",0
"2012","S01001814","All",0
"2005","S01001814","All",0
"2010","S01001814","All",0
"2006","S01001814","All",0
"2014","S01001814","All",0
"2007","S01001814","All",0
"2011","S01001814","All",0
"2008","S01001814","All",0
"2004","S01001815","Pre 1991",0
"2005","S01001815","Pre 1991",0
"2006","S01001815","Pre 1991",0
"2007","S01001815","Pre 1991",0
"2008","S01001815","Pre 1991",0
"2009","S01001815","Pre 1991",0
"2010","S01001815","Pre 1991",0
"2011","S01001815","Pre 1991",0
"2012","S01001815","Pre 1991","0.7"
"2013","S01001815","Pre 1991",0
"2013","S01001815","All",0
"2009","S01001815","All","34.7"
"2004","S01001815","All",95
"2012","S01001815","All","0.7"
"2005","S01001815","All",95
"2010","S01001815","All","34.7"
"2006","S01001815","All","86.4"
"2014","S01001815","All",0
"2007","S01001815","All","88.8"
"2011","S01001815","All","34.7"
"2008","S01001815","All","33.9"
"2004","S01001816","Pre 1991",0
"2005","S01001816","Pre 1991",0
"2006","S01001816","Pre 1991",0
"2007","S01001816","Pre 1991",0
"2008","S01001816","Pre 1991",0
"2009","S01001816","Pre 1991",0
"2010","S01001816","Pre 1991",0
"2011","S01001816","Pre 1991",0
"2012","S01001816","Pre 1991",0
"2013","S01001816","Pre 1991",0
"2013","S01001816","All","57.3"
"2009","S01001816","All","58.8"
"2004","S01001816","All",0
"2012","S01001816","All","58.4"
"2005","S01001816","All",0
"2010","S01001816","All","58.4"
"2006","S01001816","All",0
"2014","S01001816","All","57.3"
"2007","S01001816","All",0
"2011","S01001816","All","58.4"
"2008","S01001816","All","58.8"
"2004","S01001817","Pre 1991","84.9"
"2005","S01001817","Pre 1991",0
